"","year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
"1",2013,1,29,1459,1505,-6,1611,1637,-26,"9E",3393,"N925XJ","JFK","DCA",42,213,15,5,2013-01-29 15:00:00
"2",2013,2,19,2014,1940,34,2324,2245,39,"B6",381,"N590JB","LGA","FLL",159,1076,19,40,2013-02-19 19:00:00
"3",2013,3,12,1309,1310,-1,1652,1706,-14,"UA",1708,"N75428","EWR","SJU",203,1608,13,10,2013-03-12 13:00:00
"4",2013,1,30,1419,1420,-1,1614,1550,24,"MQ",3728,"N509MQ","EWR","ORD",115,719,14,20,2013-01-30 14:00:00
"5",2013,8,25,1927,1930,-3,2212,2248,-36,"B6",71,"N547JB","JFK","SLC",255,1990,19,30,2013-08-25 19:00:00
"6",2013,2,10,2049,2100,-11,2224,2211,13,"US",2191,"N730US","LGA","DCA",45,214,21,0,2013-02-10 21:00:00
"7",2013,1,17,658,700,-2,804,815,-11,"UA",1142,"N24211","EWR","BOS",42,200,7,0,2013-01-17 07:00:00
"8",2013,7,30,1818,1825,-7,2126,2147,-21,"AS",7,"N423AS","EWR","SEA",338,2402,18,25,2013-07-30 18:00:00
"9",2013,1,30,1657,1700,-3,2029,2036,-7,"DL",127,"N710TW","JFK","LAX",334,2475,17,0,2013-01-30 17:00:00
"10",2013,8,14,1800,1800,0,2057,2039,18,"DL",61,"N67171","LGA","ATL",125,762,18,0,2013-08-14 18:00:00
"11",2013,12,27,814,800,14,1120,1143,-23,"DL",2165,"N375DA","JFK","PHX",282,2153,8,0,2013-12-27 08:00:00
"12",2013,1,15,737,740,-3,946,927,19,"EV",4099,"N12564","EWR","STL",172,872,7,40,2013-01-15 07:00:00
"13",2013,5,17,1952,1943,9,2115,2100,15,"EV",3267,"N15912","EWR","PWM",46,284,19,43,2013-05-17 19:00:00
"14",2013,12,30,1645,1645,0,1915,1913,2,"DL",2042,"N977AT","EWR","ATL",133,746,16,45,2013-12-30 16:00:00
"15",2013,7,6,2028,1938,50,2248,2234,14,"UA",1555,"N36476","EWR","SAN",296,2425,19,38,2013-07-06 19:00:00
"16",2013,12,18,706,650,16,1054,1022,32,"UA",1495,"N76288","EWR","SFO",374,2565,6,50,2013-12-18 06:00:00
"17",2013,10,21,1632,1629,3,2001,1919,42,"UA",1695,"N14102","EWR","IAH",222,1400,16,29,2013-10-21 16:00:00
"18",2013,1,8,1441,1445,-4,1738,1745,-7,"B6",153,"N649JB","JFK","MCO",136,944,14,45,2013-01-08 14:00:00
"19",2013,12,12,1519,1515,4,1655,1705,-10,"MQ",3231,"N638MQ","JFK","PIT",75,340,15,15,2013-12-12 15:00:00
"20",2013,3,20,1853,1855,-2,2232,2255,-23,"AA",1613,"N5EEAA","JFK","SJU",198,1598,18,55,2013-03-20 18:00:00
"21",2013,2,10,601,600,1,824,837,-13,"DL",461,"N3766","LGA","ATL",116,762,6,0,2013-02-10 06:00:00
"22",2013,2,18,951,959,-8,1220,1250,-30,"UA",517,"N511UA","EWR","MCO",129,937,9,59,2013-02-18 09:00:00
"23",2013,1,26,1303,1310,-7,1740,1805,-25,"DL",315,"N3745B","JFK","SJU",193,1598,13,10,2013-01-26 13:00:00
"24",2013,5,2,1410,1223,107,1548,1406,102,"EV",4120,"N11119","EWR","CMH",69,463,12,23,2013-05-02 12:00:00
"25",2013,1,16,1135,1100,35,1304,1214,50,"US",2171,"N762US","LGA","DCA",57,214,11,0,2013-01-16 11:00:00
"26",2013,7,30,1443,1445,-2,1611,1642,-31,"9E",3318,"N932XJ","JFK","BUF",55,301,14,45,2013-07-30 14:00:00
"27",2013,1,11,1640,1645,-5,1912,1853,19,"EV",4997,"N752EV","EWR","DTW",82,488,16,45,2013-01-11 16:00:00
"28",2013,1,5,1206,1205,1,1517,1520,-3,"AA",743,"N426AA","LGA","DFW",226,1389,12,5,2013-01-05 12:00:00
"29",2013,8,19,1651,1659,-8,1822,1839,-17,"EV",4202,"N14960","EWR","STL",131,872,16,59,2013-08-19 16:00:00
"30",2013,6,5,628,635,-7,829,844,-15,"EV",4393,"N12166","EWR","IND",99,645,6,35,2013-06-05 06:00:00
"31",2013,8,5,2038,1710,208,10,2015,235,"AA",181,"N328AA","JFK","LAX",319,2475,17,10,2013-08-05 17:00:00
"32",2013,10,15,555,600,-5,837,856,-19,"B6",601,"N636JB","JFK","FLL",132,1069,6,0,2013-10-15 06:00:00
"33",2013,3,30,1548,1550,-2,1949,1950,-1,"AA",1635,"N5DMAA","JFK","SJU",203,1598,15,50,2013-03-30 15:00:00
"34",2013,11,13,1350,1328,22,1640,1629,11,"UA",1164,"N33292","EWR","FLL",150,1065,13,28,2013-11-13 13:00:00
"35",2013,12,19,1109,1100,9,1415,1420,-5,"DL",358,"N911DL","LGA","FLL",154,1076,11,0,2013-12-19 11:00:00
"36",2013,6,12,921,915,6,1217,1210,7,"AA",1,"N338AA","JFK","LAX",311,2475,9,15,2013-06-12 09:00:00
"37",2013,8,5,1454,1453,1,1647,1652,-5,"EV",4111,"N13908","EWR","CHS",92,628,14,53,2013-08-05 14:00:00
"38",2013,12,26,2037,2025,12,2315,2340,-25,"UA",314,"N598UA","JFK","LAX",307,2475,20,25,2013-12-26 20:00:00
"39",2013,3,4,2047,1850,117,2303,2115,108,"9E",3443,"N907XJ","JFK","MCI",170,1113,18,50,2013-03-04 18:00:00
"40",2013,12,30,1150,1046,64,1335,1222,73,"UA",1622,"N17730","EWR","ORD",127,719,10,46,2013-12-30 10:00:00
"41",2013,12,27,655,700,-5,943,958,-15,"B6",453,"N507JB","JFK","PBI",149,1028,7,0,2013-12-27 07:00:00
"42",2013,6,22,1712,1718,-6,1830,1902,-32,"UA",689,"N851UA","LGA","ORD",106,733,17,18,2013-06-22 17:00:00
"43",2013,8,22,1503,1455,8,1659,1715,-16,"DL",127,"N369NB","JFK","DTW",80,509,14,55,2013-08-22 14:00:00
"44",2013,11,3,628,632,-4,920,940,-20,"B6",929,"N583JB","JFK","RSW",155,1074,6,32,2013-11-03 06:00:00
"45",2013,12,23,1851,1829,22,2024,2021,3,"UA",1053,"N75435","EWR","CLE",70,404,18,29,2013-12-23 18:00:00
"46",2013,4,1,918,930,-12,1112,1102,10,"9E",3613,"N8432A","JFK","ROC",60,264,9,30,2013-04-01 09:00:00
"47",2013,8,3,1555,1550,5,1707,1715,-8,"EV",3853,"N16954","EWR","BNA",110,748,15,50,2013-08-03 15:00:00
"48",2013,5,25,1754,1755,-1,2026,2120,-54,"AA",1611,"N3CRAA","LGA","MIA",132,1096,17,55,2013-05-25 17:00:00
"49",2013,11,5,758,800,-2,1011,1034,-23,"9E",2924,"N293PQ","JFK","MSY",171,1182,8,0,2013-11-05 08:00:00
"50",2013,9,15,1816,1816,0,2106,2131,-25,"UA",1064,"N17244","EWR","SNA",315,2434,18,16,2013-09-15 18:00:00
"51",2013,10,1,1648,1655,-7,1808,1845,-37,"AA",2223,"N4YPAA","LGA","STL",124,888,16,55,2013-10-01 16:00:00
"52",2013,4,29,550,600,-10,723,805,-42,"EV",5363,"N755EV","LGA","MEM",134,963,6,0,2013-04-29 06:00:00
"53",2013,6,7,1731,1545,106,1917,1745,92,"MQ",4146,"N651MQ","JFK","CMH",82,483,15,45,2013-06-07 15:00:00
"54",2013,11,5,818,830,-12,950,1013,-23,"9E",2926,"N918XJ","JFK","ORD",126,740,8,30,2013-11-05 08:00:00
"55",2013,2,7,603,610,-7,804,818,-14,"EV",4941,"N753EV","EWR","MSP",156,1008,6,10,2013-02-07 06:00:00
"56",2013,11,26,824,830,-6,1006,1013,-7,"9E",2926,"N914XJ","JFK","ORD",132,740,8,30,2013-11-26 08:00:00
"57",2013,7,1,2100,2029,31,42,27,15,"UA",1244,"N36469","EWR","SJU",198,1608,20,29,2013-07-01 20:00:00
"58",2013,8,18,902,900,2,1019,1026,-7,"UA",345,"N422UA","EWR","ORD",105,719,9,0,2013-08-18 09:00:00
"59",2013,5,5,807,820,-13,950,1000,-10,"MQ",4521,"N713MQ","LGA","RDU",68,431,8,20,2013-05-05 08:00:00
"60",2013,12,26,1502,1459,3,1819,1816,3,"UA",1483,"N73259","EWR","AUS",237,1504,14,59,2013-12-26 14:00:00
"61",2013,11,1,646,650,-4,758,759,-1,"B6",318,"N284JB","JFK","BOS",39,187,6,50,2013-11-01 06:00:00
"62",2013,5,26,1150,1159,-9,1248,1312,-24,"EV",4511,"N34110","EWR","ROC",42,246,11,59,2013-05-26 11:00:00
"63",2013,8,9,1746,1629,77,2145,1927,138,"B6",1161,"N526JB","LGA","PBI",145,1035,16,29,2013-08-09 16:00:00
"64",2013,12,20,2052,2053,-1,2314,2333,-19,"EV",4645,"N11548","EWR","JAX",117,820,20,53,2013-12-20 20:00:00
"65",2013,3,8,2203,2059,64,2354,2320,34,"B6",115,"N239JB","JFK","MSY",151,1182,20,59,2013-03-08 20:00:00
"66",2013,2,5,1018,1023,-5,1252,1255,-3,"FL",347,"N965AT","LGA","ATL",126,762,10,23,2013-02-05 10:00:00
"67",2013,5,6,1534,1540,-6,1649,1650,-1,"US",1607,"N944UW","LGA","PHL",40,96,15,40,2013-05-06 15:00:00
"68",2013,3,21,1850,1820,30,2020,1955,25,"WN",962,"N280WN","LGA","BNA",116,764,18,20,2013-03-21 18:00:00
"69",2013,5,6,2102,2030,32,2243,2227,16,"EV",4247,"N27962","EWR","DTW",76,488,20,30,2013-05-06 20:00:00
"70",2013,11,24,1222,1040,102,1349,1159,110,"B6",2602,"N298JB","JFK","BUF",63,301,10,40,2013-11-24 10:00:00
"71",2013,12,20,1052,1059,-7,1207,1214,-7,"EV",4511,"N21154","EWR","ROC",50,246,10,59,2013-12-20 10:00:00
"72",2013,12,20,1200,1210,-10,1513,1520,-7,"AA",1143,"N3CHAA","LGA","DFW",219,1389,12,10,2013-12-20 12:00:00
"73",2013,5,13,1719,1550,89,1829,1708,81,"EV",3824,"N16559","EWR","BNA",109,748,15,50,2013-05-13 15:00:00
"74",2013,11,2,558,600,-2,819,828,-9,"DL",563,"N911DE","LGA","ATL",119,762,6,0,2013-11-02 06:00:00
"75",2013,7,31,759,800,-1,1056,1104,-8,"DL",1271,"N377DA","JFK","FLL",141,1069,8,0,2013-07-31 08:00:00
"76",2013,9,9,627,630,-3,836,833,3,"EV",4535,"N11187","EWR","MSP",166,1008,6,30,2013-09-09 06:00:00
"77",2013,6,12,806,811,-5,1009,1020,-11,"EV",4419,"N12157","EWR","XNA",157,1131,8,11,2013-06-12 08:00:00
"78",2013,6,21,627,630,-3,837,847,-10,"B6",211,"N636JB","JFK","LAS",282,2248,6,30,2013-06-21 06:00:00
"79",2013,1,17,544,540,4,845,850,-5,"AA",1141,"N628AA","JFK","MIA",157,1089,5,40,2013-01-17 05:00:00
"80",2013,3,9,908,910,-2,1205,1231,-26,"DL",1247,"N722TW","JFK","SLC",277,1990,9,10,2013-03-09 09:00:00
"81",2013,11,8,1225,1230,-5,1410,1405,5,"AA",329,"N4XXAA","LGA","ORD",123,733,12,30,2013-11-08 12:00:00
"82",2013,11,7,1758,1759,-1,2059,2054,5,"DL",1629,"N3756","JFK","LAS",333,2248,17,59,2013-11-07 17:00:00
"83",2013,1,9,837,840,-3,939,1003,-24,"9E",3422,"N932XJ","JFK","BOS",38,187,8,40,2013-01-09 08:00:00
"84",2013,6,15,1324,1245,39,1551,1543,8,"B6",505,"N524JB","EWR","FLL",129,1065,12,45,2013-06-15 12:00:00
"85",2013,9,26,1537,1535,2,1743,1750,-7,"WN",1873,"N737JW","EWR","DEN",220,1605,15,35,2013-09-26 15:00:00
"86",2013,6,2,1409,1355,14,1603,1606,-3,"UA",515,"N855UA","EWR","MSY",162,1167,13,55,2013-06-02 13:00:00
"87",2013,10,28,1239,1239,0,1505,1510,-5,"EV",4141,"N11106","EWR","ATL",109,746,12,39,2013-10-28 12:00:00
"88",2013,8,2,1326,1325,1,1551,1545,6,"F9",507,"N263AV","LGA","DEN",230,1620,13,25,2013-08-02 13:00:00
"89",2013,10,25,1915,1930,-15,2123,2049,34,"EV",5769,"N828AS","LGA","IAD",53,229,19,30,2013-10-25 19:00:00
"90",2013,5,22,1148,1130,18,1448,1431,17,"DL",1875,"N906DE","LGA","TPA",139,1010,11,30,2013-05-22 11:00:00
"91",2013,1,13,2048,1920,88,2235,2121,74,"9E",3373,"N604LR","JFK","RDU",72,427,19,20,2013-01-13 19:00:00
"92",2013,8,4,1448,1440,8,1722,1730,-8,"UA",1744,"N76269","LGA","IAH",187,1416,14,40,2013-08-04 14:00:00
"93",2013,2,10,1249,1250,-1,1525,1520,5,"WN",390,"N946WN","LGA","DEN",241,1620,12,50,2013-02-10 12:00:00
"94",2013,8,16,2040,2040,0,2138,2154,-16,"B6",2680,"N265JB","EWR","BOS",41,200,20,40,2013-08-16 20:00:00
"95",2013,11,28,852,900,-8,1155,1225,-30,"AA",1,"N319AA","JFK","LAX",334,2475,9,0,2013-11-28 09:00:00
"96",2013,7,31,758,756,2,930,930,0,"EV",4125,"N14907","EWR","GSO",67,445,7,56,2013-07-31 07:00:00
"97",2013,5,18,1809,1800,9,2002,2001,1,"EV",4382,"N13949","EWR","DTW",83,488,18,0,2013-05-18 18:00:00
"98",2013,2,22,627,630,-3,800,811,-11,"UA",1181,"N13716","EWR","CLE",74,404,6,30,2013-02-22 06:00:00
"99",2013,1,8,819,815,4,1003,958,5,"9E",3521,"N602LR","JFK","ORD",125,740,8,15,2013-01-08 08:00:00
"100",2013,4,1,1915,1829,46,2059,2038,21,"DL",2019,"N341NB","LGA","MSP",145,1020,18,29,2013-04-01 18:00:00
"101",2013,3,13,1621,1525,56,1743,1655,48,"MQ",3823,"N511MQ","JFK","DCA",55,213,15,25,2013-03-13 15:00:00
"102",2013,4,20,854,900,-6,945,1019,-34,"US",2120,"N952UW","LGA","BOS",37,184,9,0,2013-04-20 09:00:00
"103",2013,10,7,1458,1459,-1,1748,1756,-8,"DL",500,"N398DA","JFK","LAS",293,2248,14,59,2013-10-07 14:00:00
"104",2013,8,12,1936,1915,21,2239,2230,9,"AA",21,"N335AA","JFK","LAX",342,2475,19,15,2013-08-12 19:00:00
"105",2013,7,21,1546,1500,46,1923,1758,85,"B6",83,"N653JB","JFK","MCO",152,944,15,0,2013-07-21 15:00:00
"106",2013,7,6,1025,1029,-4,1224,1239,-15,"US",196,"N509AY","JFK","PHX",267,2153,10,29,2013-07-06 10:00:00
"107",2013,7,4,1556,1545,11,1938,1959,-21,"DL",4,"N3744F","JFK","SJU",195,1598,15,45,2013-07-04 15:00:00
"108",2013,7,8,1545,1540,5,1902,1858,4,"UA",367,"N555UA","JFK","SFO",333,2586,15,40,2013-07-08 15:00:00
"109",2013,1,28,2043,2000,43,2137,2101,36,"EV",4309,"N12957","EWR","ALB",31,143,20,0,2013-01-28 20:00:00
"110",2013,7,19,1541,1430,71,1903,1725,98,"B6",325,"N556JB","JFK","TPA",150,1005,14,30,2013-07-19 14:00:00
"111",2013,12,11,601,559,2,747,735,12,"UA",1153,"N13248","EWR","ORD",141,719,5,59,2013-12-11 05:00:00
"112",2013,12,2,848,850,-2,1232,1228,4,"B6",15,"N821JB","JFK","SFO",373,2586,8,50,2013-12-02 08:00:00
"113",2013,1,14,703,645,18,852,808,44,"B6",102,"N605JB","JFK","BUF",67,301,6,45,2013-01-14 06:00:00
"114",2013,7,1,2305,1900,245,153,2245,188,"DL",1465,"N703TW","JFK","SFO",315,2586,19,0,2013-07-01 19:00:00
"115",2013,7,26,1113,1115,-2,1355,1400,-5,"AA",739,"N3EWAA","LGA","DFW",179,1389,11,15,2013-07-26 11:00:00
"116",2013,10,2,629,629,0,920,929,-9,"AA",1205,"N3HSAA","EWR","MIA",141,1085,6,29,2013-10-02 06:00:00
"117",2013,8,10,1817,1825,-8,2054,2147,-53,"AS",7,"N402AS","EWR","SEA",318,2402,18,25,2013-08-10 18:00:00
"118",2013,1,22,802,800,2,1105,1054,11,"B6",517,"N632JB","EWR","MCO",162,937,8,0,2013-01-22 08:00:00
"119",2013,4,8,1922,1929,-7,2121,2157,-36,"EV",5181,"N750EV","EWR","ATL",102,746,19,29,2013-04-08 19:00:00
"120",2013,11,29,1027,1030,-3,1346,1410,-24,"US",679,"N509AY","JFK","PHX",295,2153,10,30,2013-11-29 10:00:00
"121",2013,10,2,816,808,8,1100,1058,2,"UA",1154,"N87527","EWR","TPA",136,997,8,8,2013-10-02 08:00:00
"122",2013,2,17,1428,1355,33,1721,1647,34,"B6",1783,"N608JB","JFK","MCO",137,944,13,55,2013-02-17 13:00:00
"123",2013,8,25,1508,1440,28,1652,1643,9,"DL",1231,"N346NB","LGA","DTW",74,502,14,40,2013-08-25 14:00:00
"124",2013,12,24,1019,1009,10,1317,1322,-5,"UA",429,"N413UA","LGA","IAH",201,1416,10,9,2013-12-24 10:00:00
"125",2013,5,8,1759,1715,44,1851,1829,22,"B6",1176,"N258JB","EWR","BOS",34,200,17,15,2013-05-08 17:00:00
"126",2013,6,16,816,815,1,928,930,-2,"MQ",3370,"N804MQ","JFK","DCA",53,213,8,15,2013-06-16 08:00:00
"127",2013,8,15,957,1000,-3,1134,1133,1,"FL",353,"N608AT","LGA","CAK",59,397,10,0,2013-08-15 10:00:00
"128",2013,3,22,612,615,-3,825,820,5,"US",829,"N724UW","JFK","CLT",83,541,6,15,2013-03-22 06:00:00
"129",2013,1,12,556,600,-4,836,904,-28,"B6",371,"N703JB","LGA","FLL",143,1076,6,0,2013-01-12 06:00:00
"130",2013,8,3,2239,2245,-6,2354,1,-7,"B6",234,"N231JB","JFK","BTV",48,266,22,45,2013-08-03 22:00:00
"131",2013,5,2,1956,2000,-4,2225,2237,-12,"DL",1147,"N996DL","LGA","ATL",112,762,20,0,2013-05-02 20:00:00
"132",2013,5,6,638,640,-2,839,851,-12,"EV",4122,"N13124","EWR","SDF",98,642,6,40,2013-05-06 06:00:00
"133",2013,6,13,1926,1930,-4,32,2244,108,"DL",1854,"N359NW","LGA","FLL",160,1076,19,30,2013-06-13 19:00:00
"134",2013,12,4,1858,1900,-2,2240,2249,-9,"DL",435,"N722TW","JFK","SFO",371,2586,19,0,2013-12-04 19:00:00
"135",2013,9,18,1644,1630,14,1926,1940,-14,"AA",181,"N332AA","JFK","LAX",316,2475,16,30,2013-09-18 16:00:00
"136",2013,12,20,1630,1630,0,1953,2011,-18,"US",629,"N520UW","JFK","PHX",303,2153,16,30,2013-12-20 16:00:00
"137",2013,5,20,1523,1446,37,1646,1623,23,"EV",4085,"N13908","EWR","RDU",63,416,14,46,2013-05-20 14:00:00
"138",2013,10,1,824,826,-2,947,1014,-27,"EV",4537,"N11536","EWR","MEM",126,946,8,26,2013-10-01 08:00:00
"139",2013,11,4,711,710,1,908,845,23,"AA",305,"N4YBAA","LGA","ORD",121,733,7,10,2013-11-04 07:00:00
"140",2013,3,4,1558,1600,-2,1741,1717,24,"US",2181,"N746UW","LGA","DCA",46,214,16,0,2013-03-04 16:00:00
"141",2013,9,17,859,859,0,1138,1144,-6,"UA",587,"N805UA","EWR","LAS",290,2227,8,59,2013-09-17 08:00:00
"142",2013,11,16,749,755,-6,913,939,-26,"9E",2939,"N8855A","JFK","PIT",64,340,7,55,2013-11-16 07:00:00
"143",2013,12,3,1927,1930,-3,2140,2206,-26,"9E",2925,"N600LR","JFK","MSY",171,1182,19,30,2013-12-03 19:00:00
"144",2013,7,26,1814,1800,14,2154,2039,75,"DL",61,"N557NW","LGA","ATL",108,762,18,0,2013-07-26 18:00:00
"145",2013,3,12,551,600,-9,652,703,-11,"US",2114,"N764US","LGA","BOS",42,184,6,0,2013-03-12 06:00:00
"146",2013,5,9,1055,1100,-5,1225,1212,13,"US",2124,"N952UW","LGA","BOS",37,184,11,0,2013-05-09 11:00:00
"147",2013,3,4,711,715,-4,910,918,-8,"DL",831,"N919DE","LGA","DTW",78,502,7,15,2013-03-04 07:00:00
"148",2013,9,26,1905,1830,35,2131,2130,1,"9E",3325,"N915XJ","JFK","DFW",171,1391,18,30,2013-09-26 18:00:00
"149",2013,1,13,1303,1303,0,1412,1424,-12,"B6",32,"N203JB","JFK","ROC",50,264,13,3,2013-01-13 13:00:00
"150",2013,12,11,2029,2040,-11,2213,2220,-7,"MQ",3257,"N849MQ","LGA","RDU",80,431,20,40,2013-12-11 20:00:00
"151",2013,3,17,602,600,2,846,815,31,"FL",345,"N308AT","LGA","ATL",121,762,6,0,2013-03-17 06:00:00
"152",2013,9,9,825,817,8,1008,1023,-15,"9E",3353,"N903XJ","JFK","DTW",82,509,8,17,2013-09-09 08:00:00
"153",2013,5,21,1214,1220,-6,1352,1415,-23,"EV",3805,"N13997","EWR","DTW",77,488,12,20,2013-05-21 12:00:00
"154",2013,4,4,1459,1500,-1,1718,1730,-12,"UA",1287,"N33292","LGA","DEN",227,1620,15,0,2013-04-04 15:00:00
"155",2013,1,11,603,615,-12,745,750,-5,"MQ",4518,"N734MQ","LGA","RDU",74,431,6,15,2013-01-11 06:00:00
"156",2013,5,5,2254,2255,-1,5,19,-14,"B6",112,"N298JB","JFK","BUF",49,301,22,55,2013-05-05 22:00:00
"157",2013,6,12,1609,1615,-6,1821,1830,-9,"EV",4431,"N13965","EWR","SAV",96,708,16,15,2013-06-12 16:00:00
"158",2013,8,27,754,758,-4,1004,1020,-16,"UA",561,"N534UA","LGA","DEN",195,1620,7,58,2013-08-27 07:00:00
"159",2013,5,14,954,1000,-6,1233,1231,2,"DL",1847,"N690DL","LGA","ATL",98,762,10,0,2013-05-14 10:00:00
"160",2013,9,29,1004,1010,-6,1106,1135,-29,"MQ",3670,"N543MQ","LGA","BNA",100,764,10,10,2013-09-29 10:00:00
"161",2013,6,17,2135,1920,135,27,2210,137,"AA",1691,"N587AA","EWR","DFW",199,1372,19,20,2013-06-17 19:00:00
"162",2013,10,5,1158,1200,-2,1448,1510,-22,"DL",423,"N198DN","JFK","LAX",320,2475,12,0,2013-10-05 12:00:00
"163",2013,9,11,1554,1600,-6,1716,1720,-4,"US",2187,"N714US","LGA","DCA",45,214,16,0,2013-09-11 16:00:00
"164",2013,3,13,921,835,46,1110,956,74,"EV",4409,"N13992","EWR","RIC",69,277,8,35,2013-03-13 08:00:00
"165",2013,8,28,2113,2028,45,2304,2247,17,"B6",135,"N561JB","JFK","PHX",264,2153,20,28,2013-08-28 20:00:00
"166",2013,3,8,2055,1926,89,2357,2233,84,"UA",1654,"N24715","EWR","SAN",339,2425,19,26,2013-03-08 19:00:00
"167",2013,2,21,2219,2155,24,40,45,-5,"UA",571,"N513UA","EWR","MCO",125,937,21,55,2013-02-21 21:00:00
"168",2013,9,13,2216,1905,191,2326,2033,173,"EV",5383,"N717EV","LGA","ROC",44,254,19,5,2013-09-13 19:00:00
"169",2013,12,2,1803,1759,4,2101,2053,8,"B6",299,"N566JB","LGA","MCO",137,950,17,59,2013-12-02 17:00:00
"170",2013,1,4,819,820,-1,1103,1129,-26,"B6",181,"N527JB","JFK","SAN",312,2446,8,20,2013-01-04 08:00:00
"171",2013,8,14,1451,1450,1,1733,1716,17,"9E",3793,"N8884E","JFK","CLT",92,541,14,50,2013-08-14 14:00:00
"172",2013,9,4,630,640,-10,821,910,-49,"US",621,"N535UW","JFK","PHX",268,2153,6,40,2013-09-04 06:00:00
"173",2013,2,24,807,810,-3,909,925,-16,"AA",1838,"N3GLAA","JFK","BOS",35,187,8,10,2013-02-24 08:00:00
"174",2013,12,6,1246,1247,-1,1640,1614,26,"UA",1663,"N75433","EWR","SFO",391,2565,12,47,2013-12-06 12:00:00
"175",2013,1,9,1644,1650,-6,1759,1820,-21,"AA",1790,"N3DUAA","JFK","BOS",44,187,16,50,2013-01-09 16:00:00
"176",2013,7,15,1053,1055,-2,1309,1347,-38,"DL",1275,"N3760C","JFK","SLC",235,1990,10,55,2013-07-15 10:00:00
"177",2013,12,10,1950,1915,35,2248,2208,40,"UA",866,"N852UA","EWR","LAS",329,2227,19,15,2013-12-10 19:00:00
"178",2013,5,13,2035,2012,23,2337,2330,7,"UA",1615,"N77258","EWR","AUS",182,1504,20,12,2013-05-13 20:00:00
"179",2013,7,31,924,608,196,1041,719,202,"B6",2180,"N249JB","EWR","BOS",35,200,6,8,2013-07-31 06:00:00
"180",2013,10,24,955,1005,-10,1150,1217,-27,"DL",2319,"N327NW","LGA","MSP",138,1020,10,5,2013-10-24 10:00:00
"181",2013,9,9,1342,1350,-8,1442,1453,-11,"B6",1338,"N216JB","JFK","MVY",36,173,13,50,2013-09-09 13:00:00
"182",2013,10,18,649,700,-11,749,806,-17,"US",2136,"N947UW","LGA","BOS",39,184,7,0,2013-10-18 07:00:00
"183",2013,8,20,850,900,-10,956,1016,-20,"US",2140,"N953UW","LGA","BOS",34,184,9,0,2013-08-20 09:00:00
"184",2013,5,16,2219,2129,50,2314,2239,35,"EV",3807,"N16919","EWR","PVD",31,160,21,29,2013-05-16 21:00:00
"185",2013,12,12,1642,1640,2,1815,1818,-3,"EV",4702,"N13989","EWR","GSO",70,445,16,40,2013-12-12 16:00:00
"186",2013,7,2,1856,1855,1,2117,2059,18,"US",1473,"N161UW","LGA","CLT",101,544,18,55,2013-07-02 18:00:00
"187",2013,7,24,1318,1315,3,1617,1607,10,"UA",1130,"N67134","EWR","LAX",319,2454,13,15,2013-07-24 13:00:00
"188",2013,10,1,1857,1900,-3,2044,2117,-33,"9E",3445,"N906XJ","LGA","DSM",146,1031,19,0,2013-10-01 19:00:00
"189",2013,6,30,1838,1821,17,2110,2130,-20,"UA",1165,"N75851","EWR","LAX",302,2454,18,21,2013-06-30 18:00:00
"190",2013,1,19,1148,1155,-7,1257,1302,-5,"9E",3483,"N920XJ","JFK","BOS",42,187,11,55,2013-01-19 11:00:00
"191",2013,4,15,804,800,4,1012,958,14,"B6",1273,"N306JB","JFK","CHS",103,636,8,0,2013-04-15 08:00:00
"192",2013,5,5,954,935,19,1157,1151,6,"9E",3826,"N841AY","LGA","AVL",87,599,9,35,2013-05-05 09:00:00
"193",2013,2,7,1610,1605,5,1808,1750,18,"MQ",4415,"N725MQ","LGA","RDU",78,431,16,5,2013-02-07 16:00:00
"194",2013,9,29,1623,1600,23,1753,1755,-2,"MQ",2793,"N603MQ","JFK","CMH",70,483,16,0,2013-09-29 16:00:00
"195",2013,3,27,2121,2125,-4,2239,2240,-1,"MQ",4449,"N852MQ","JFK","DCA",50,213,21,25,2013-03-27 21:00:00
"196",2013,11,20,807,810,-3,1107,1106,1,"UA",1148,"N11206","EWR","TPA",146,997,8,10,2013-11-20 08:00:00
"197",2013,8,15,749,755,-6,1045,1057,-12,"DL",2395,"N916DL","LGA","PBI",140,1035,7,55,2013-08-15 07:00:00
"198",2013,7,25,2116,2030,46,2258,2202,56,"FL",485,"N970AT","LGA","CAK",60,397,20,30,2013-07-25 20:00:00
"199",2013,3,9,1500,1459,1,1752,1814,-22,"B6",137,"N779JB","JFK","RSW",154,1074,14,59,2013-03-09 14:00:00
"200",2013,4,13,622,629,-7,818,825,-7,"US",1485,"N151UW","EWR","CLT",88,529,6,29,2013-04-13 06:00:00
